Id,Label,timeset,modularity_class
"芸薹属",,,6
"芸薹",,,6
"椭圆形",,,6
"长叶松森林[生态森林]",,,2
"葳蕤",,,3
"玉竹",,,3
"胡萝卜[伞形科植物]",,,16
"胡萝卜族",,,16
"胡萝卜属",,,16
"粟[小米]",,,2
"槐[豆科槐属乔木]",,,17
"芒[禾木科植物]",,,2
"芒属",,,2
"依米[非洲花种]",,,0
"文竹[植物]",,,2
"天门冬亚科",,,2
"天门冬属",,,2
"雕塑",,,2
"金花茶",,,15
"望天树[龙脑香科植物]",,,15
"擎天树",,,15
"柳安属",,,15
"月桂[樟科月桂属植物]",,,12
Laurus nobilis,,,12
"樟亚科",,,12
"月桂亚族",,,12
"仙草冰",,,7
"罗勒亚科",,,7
"罗勒族",,,7
"凉粉草属",,,7
"金叶女贞",,,3
"女贞属",,,3
"薄荷[唇形科植物]",,,7
"薄荷属",,,7
"薄荷亚族",,,7
"薄荷组",,,7
"薄荷亚组",,,7
"薄荷系",,,7
"菜花[蔬菜]",,,6
"蓝色妖姬[染了蓝紫色的蔷薇科蔷薇属玫瑰种植物]",,,5
"红景天[景天科红景天属植物]",,,5
"景天亚科",,,17
"番石榴[植物]",,,4
"桃金娘亚科",,,4
"桃金娘族",,,4
"番石榴属",,,4
"荸荠[荸荠属植物]",,,2
"藨草亚科",,,2
"藨草族",,,2
"砀山酥梨",,,5
"梨属",,,5
"白垩纪",,,0
medicine,,,5
"三叠纪",,,0
"木瓜[蔷薇科木瓜属植物]",,,5
pawpaw,,,5
"奥陶纪",,,0
O,,,0
"藏缅语族",,,2
"字词",,,2
"蔷薇[蔷薇属部分花卉通称]",,,5
"柿饼",,,7
"柿科",,,7
"哈巴狗",,,4
pug,,,4
"小型",,,4
"玩赏犬",,,4
"老鹳草[牻牛儿苗科老鹳草属植物]",,,7
"木香[草药]",,,1
"马齿苋[马齿苋科马齿苋属植物]",,,11
"木蝴蝶[植物]",,,7
"紫葳科",,,4
"木蝴蝶属",,,7
"铁桦树",,,3
"赛黑桦",,,3
"壳斗目",,,3
"桦木目",,,3
"桦木科",,,3
"桦木属",,,3
"马兜铃[植物]",,,7
"马兜铃目",,,7
"马兜铃科",,,7
"马兜铃亚科",,,7
"马兜铃族",,,7
"马兜铃属",,,7
"马兜铃亚属",,,7
"马鞭草[马鞭草科植物]",,,7
"马鞭草属",,,7
